,Title,Published_date,Views,Likes,Comments,Month
0,friendship whatsapp status 🥰,2023-10-06,79,8,18,Oct
1,sourav joshi from walmart 😍,2023-07-11,266,19,35,Jul
2,rewind 2022 🎥,2023-01-26,177,27,45,Jan
3,He Didn't Let Me Stole It #shorts #7,2022-09-28,271,5,0,Sep
4,He Didn't Let Me Stole It #shorts #6,2022-09-27,241,4,0,Sep
5,He Didn't Let Me Stole It #shorts #5,2022-09-27,70,3,0,Sep
6,He Didn't Let Me Stole It #shorts #4,2022-09-26,231,4,0,Sep
7,He Didn't Let Me Stole It #shorts #3,2022-09-26,817,14,4,Sep
8,He Didn't Let Me Stole It #shorts #2,2022-09-25,154,4,0,Sep
9,He Didn't Let Me Stole It #shorts #1,2022-09-25,31,3,0,Sep
10,You Should Eat Maggi Like This #shorts #6,2022-09-24,25,4,2,Sep
11,You Should Eat Maggi Like This #shorts #5,2022-09-24,231,5,0,Sep
12,You Should Eat Maggi Like This #shorts #4,2022-09-23,2894,66,0,Sep
13,You Should Eat Maggi Like This #shorts #3,2022-09-23,15,1,0,Sep
14,You Should Eat Maggi Like This #shorts #2,2022-09-22,134,4,0,Sep
15,You Should Eat Maggi Like This #shorts #1,2022-09-22,156,0,0,Sep
16,bunked college for this🍾 #shorts #10,2022-09-21,100,5,0,Sep
17,bunked college for this🍾 #shorts #9,2022-09-21,16,2,0,Sep
18,bunked college for this🍾 #shorts #8,2022-09-20,36,2,2,Sep
19,bunked college for this🍾 #shorts #7,2022-09-20,233,3,0,Sep
20,bunked college for this🍾 #shorts #6,2022-09-19,75,3,0,Sep
21,bunked college for this🍾 #shorts #5,2022-09-19,202,7,0,Sep
22,bunked college for this🍾 #shorts #4,2022-09-18,200,8,2,Sep
23,bunked college for this🍾 #shorts #3,2022-09-18,63,5,0,Sep
24,bunked college for this🍾 #shorts #2,2022-09-17,113,5,0,Sep
25,bunked college for this🍾 #shorts #1,2022-09-17,11,3,0,Sep
26,its been 5 years🎥,2022-09-04,152,28,32,Sep
27,bunked college for this🍾,2022-08-31,218,27,28,Aug
28,bunked college for this🍾 #shorts,2022-08-30,141,14,8,Aug
29,#Shorts I Lied About My Headache To Avoid The Exam | Episode - 3 | UNTITLED | #S1E3,2022-05-11,56,7,0,May
30,I Lied About My Headache To Avoid The Exam | Episode - 3 | UNTITLED | #S1E3,2022-05-09,146,27,31,May
31,#Shorts You Should Eat Maggi Like This,2022-05-05,652,16,4,May
32,You Should Eat Maggi Like This,2022-05-01,172,19,40,May
33,"#Shorts Vlog - 5, He Didn't Let Me Stole It",2022-04-30,64,8,4,Apr
34,He Didn't Let Me Stole It,2022-04-24,159,21,51,Apr
35,The First 10 Days of 2022,2022-04-17,95,17,16,Apr
36,He Just Can't Drive,2022-04-10,165,19,28,Apr
37,"#Shorts Vlog - 4, He Just Can't Drive",2022-04-09,37,8,2,Apr
38,A Random Day At College,2022-04-03,280,27,46,Apr
39,"#Shorts Vlog - 3, A Random Day At College",2022-04-02,269,17,3,Apr
40,Let's Groove,2022-03-27,476,18,24,Mar
41,"#Shorts Vlog - 2, Let's Groove",2022-03-26,43,9,6,Mar
42,"UNTITLED - S1, Episode - 2, ""Sneaking Into A Wedding Ceremony"" #S1E2 | Akarsh Saxena",2022-03-20,119,15,17,Mar
43,"#Shorts UNTITLED - S1, Episode - 2, ""Sneaking Into A Wedding Ceremony"" #S1E2 | Akarsh Saxena",2022-03-18,48,6,4,Mar
44,Happy New Year 2022 and Rewind 2021 | Akarsh Saxena,2022-03-13,142,16,22,Mar
45,#Shorts Happy New Year 2022 and Rewind 2021 | Akarsh Saxena,2022-03-12,43,8,4,Mar
46,Spider-Man : No Way Home and More,2022-02-23,159,20,14,Feb
47,"#Shorts Vlog - 1, Spider-Man : No Way Home and More | Akarsh Saxena",2022-02-20,62,11,8,Feb
48,"UNTITLED - S1, Episode - 1, ""Photocopy Wale Bhaiya"" #S1E1 | Akarsh Saxena",2021-12-07,174,26,25,Dec
49,#Shorts Diwali Festival Of Holidays | Akarsh Saxena,2021-12-01,45,11,0,Dec
50,Diwali Festival Of Holidays | Akarsh Saxena,2021-11-25,221,33,55,Nov
51,My First Vlog | Akarsh Saxena,2021-11-03,333,44,53,Nov
52,#Shorts Today Is My Birthday | Akarsh Saxena,2021-07-12,57,13,2,Jul
53,Today Is My Birthday | Akarsh Saxena,2021-07-07,257,49,83,Jul
54,#Shorts How To Make A Roast Video In 2021 | Akarsh Saxena,2021-07-05,865,47,2,Jul
55,How To Make A Roast Video In 2021 | Akarsh Saxena,2021-06-27,414,29,37,Jun
56,#Shorts Reacting To My Own Videos | Akarsh Saxena,2021-06-14,66,16,6,Jun
57,Reacting To My Own Videos | Akarsh Saxena,2021-05-05,320,45,38,May
58,Tea VS Coffee | Akarsh Saxena,2021-02-04,549,49,36,Feb
59,Social Media Is A Curse | Akarsh Saxena,2021-01-24,444,53,40,Jan
60,Meme Is Important | Akarsh Saxena,2020-08-12,271,43,28,Aug
61,Things To Do During Quarantine | Akarsh Saxena,2020-05-04,400,60,34,May
62,Indian Crime Shows Are The Best | Akarsh Saxena,2020-03-31,388,65,36,Mar
63,How To Make A Vlog (PARODY) | Akarsh Saxena,2020-03-22,263,56,46,Mar
