,Title,Published_date,Views,Month
0,HOW TO BUILD YOURSELF BACK! 📈,2023-01-12,304,Jan
1,This is Bhopal 365 Days✨,2023-01-04,212,Jan
2,This was a Dream once...,2022-11-11,185,Nov
3,Came over stage fear that day.,2022-09-03,360,Sep
4,7 DAYS Detox Challenge🏃,2022-06-05,366,Jun
5,this is how they get subscribers,2022-05-03,128,May
6,fell off a tree,2022-04-28,158,Apr
7,This place gives Subscribers. 2/7,2022-04-27,149,Apr
8,we stole it,2022-04-23,245,Apr
9,My old VS new laptop setup 🎞️,2022-03-20,183,Mar
10,Make your Setup Minimal with these steps✨,2022-03-20,127,Mar
11,Stay over for Stranger Things 🥂,2022-03-08,265,Mar
12,I did a stay over for Stranger Things 🥂🎥,2022-03-08,103,Mar
13,Back to College,2022-03-02,166,Mar
14,I drink milk in whisky glass 🥃,2022-02-14,176,Feb
15,How to take care of your Loved ones 💘,2022-02-13,143,Feb
16,saddest year of my life,2022-01-23,227,Jan
17,We went to BHIMBETKA 🚗,2021-12-25,139,Dec
18,Is Raisen fort worth visiting for 2nd time ? | S01E02,2021-11-24,381,Nov
19,ON THE TOP OF THE RAISEN FORT | S01E01,2021-11-03,259,Nov
20,never DRIVE like this!,2021-10-18,253,Oct
21,Ishq-e-Megha,2021-10-08,184,Oct
22,Hidden Place in BHOPAL.,2021-09-29,329,Sep
23,Boring casual vlog 🥱,2021-09-28,164,Sep
24,Why do you watch me ?,2021-08-08,313,Aug
25,HAPPY SUNDAY | A Comedy Short Movie,2021-07-24,981,Jul
26,Back to Begumganj with 300 Subscribers 🥂,2021-07-04,361,Jul
27,PNB hates me :(,2021-06-17,175,Jun
28,GOT VACCINATED💉,2021-05-31,217,May
29,How do I Kill Time during LOCKDOWN.,2021-05-27,239,May
30,How to vlog with a phone in 2021.,2021-04-21,267,Apr
31,Average morning photoshoots.,2021-04-03,204,Apr
32,How to make a camera HOLI-PROOF !,2021-03-31,348,Mar
33,shiv hi shakti,2021-03-21,314,Mar
34,Riding a 10 years old SKATEBOARD🛹,2021-03-20,277,Mar
35,CAMERAWALEBHAIYA Bhopal meet-up,2021-03-19,985,Mar
36,why i hate college:/,2021-03-05,332,Mar
37,UNDERRATED,2021-02-15,254,Feb
38,The PHOTOWALK ft. Aditya,2021-02-11,278,Feb
39,Zoom lens Vs Prime lens,2021-02-03,251,Feb
40,MAI OR MERI BIKE,2021-02-01,383,Feb
41,Happy Birthday Golu.,2021-01-30,211,Jan
42,THE LAST ONE ( CLICKBAIT!!!),2021-01-11,426,Jan
43,THE COLLEGE ASSIGNMENT,2020-12-23,217,Dec
44,WE WENT TO SANCHI.....🚗,2020-12-03,840,Dec
45,FITNESS BHI ZARURI HAI....,2020-11-19,328,Nov
46,NAVRATRI CRICKET NIGHTS 🏏,2020-10-23,590,Oct
47,Street food B-rolls for the first time......,2020-10-19,182,Oct
48,Microphone solution!,2020-10-18,182,Oct
49,The journey to Ambikapur.........,2020-10-02,297,Oct
50,Just chillin with frands......,2020-09-18,818,Sep
51,Meet my cousin......,2020-09-05,671,Sep
52,Long exposure shots and some important talks,2020-08-01,114,Aug
53,How do I edit my videos ?,2020-07-02,194,Jul
54,F/1.8 Gamez.,2020-06-24,179,Jun
55,first vlog.,2020-05-15,440,May
56,Vinyl wrapping my camera,2020-04-04,174,Apr
57,my cameralogy Live Stream,2020-02-06,0,Feb
58,Understanding tripods,2018-06-10,117,Jun
59,What is time lapse|| learn time lapse||,2018-05-27,189,May
